1 bytes 797.743797 us, bandwith 0 MB/s
2 bytes 801.619053 us, bandwith 0 MB/s
4 bytes 799.634457 us, bandwith 0 MB/s
8 bytes 798.893929 us, bandwith 0 MB/s
16 bytes 798.268795 us, bandwith 0 MB/s
32 bytes 798.682690 us, bandwith 0 MB/s
64 bytes 800.718307 us, bandwith 0 MB/s
128 bytes 799.293995 us, bandwith 0 MB/s
256 bytes 799.828053 us, bandwith 0 MB/s
512 bytes 801.470757 us, bandwith 0 MB/s
1024 bytes 799.762249 us, bandwith 0 MB/s
2048 bytes 798.751354 us, bandwith 0 MB/s
4096 bytes 802.746773 us, bandwith 0 MB/s
8192 bytes 804.845333 us, bandwith 0 MB/s
16384 bytes 809.939861 us, bandwith 0 MB/s
32768 bytes 826.289177 us, bandwith 0 MB/s
65536 bytes 852.454662 us, bandwith 0 MB/s
131072 bytes 906.875610 us, bandwith 0 MB/s
262144 bytes 994.395733 us, bandwith 0 MB/s
524288 bytes 1098.820686 us, bandwith 0 MB/s
1048576 bytes 1233.604908 us, bandwith 0 MB/s
2097152 bytes 2089.208126 us, bandwith 0 MB/s
