1 bytes 0.673294 us, bandwith 0 MB/s
2 bytes 0.640869 us, bandwith 0 MB/s
4 bytes 0.657082 us, bandwith 0 MB/s
8 bytes 0.702381 us, bandwith 0 MB/s
16 bytes 0.633240 us, bandwith 0 MB/s
32 bytes 0.691414 us, bandwith 0 MB/s
64 bytes 0.690937 us, bandwith 0 MB/s
128 bytes 0.884056 us, bandwith 0 MB/s
256 bytes 0.995636 us, bandwith 0 MB/s
512 bytes 1.057625 us, bandwith 0 MB/s
1024 bytes 1.089573 us, bandwith 0 MB/s
2048 bytes 1.657486 us, bandwith 0 MB/s
4096 bytes 2.163410 us, bandwith 0 MB/s
8192 bytes 4.138947 us, bandwith 0 MB/s
16384 bytes 5.971909 us, bandwith 0 MB/s
32768 bytes 9.867668 us, bandwith 0 MB/s
65536 bytes 18.001556 us, bandwith 0 MB/s
131072 bytes 33.606052 us, bandwith 0 MB/s
262144 bytes 68.545341 us, bandwith 0 MB/s
524288 bytes 135.730267 us, bandwith 0 MB/s
1048576 bytes 267.974377 us, bandwith 0 MB/s
2097152 bytes 540.066719 us, bandwith 0 MB/s
