1 bytes 1.013279 us, bandwith 0 MB/s
2 bytes 1.009941 us, bandwith 0 MB/s
4 bytes 1.022339 us, bandwith 0 MB/s
8 bytes 0.912666 us, bandwith 0 MB/s
16 bytes 1.008511 us, bandwith 0 MB/s
32 bytes 0.968933 us, bandwith 0 MB/s
64 bytes 0.981331 us, bandwith 0 MB/s
128 bytes 1.121998 us, bandwith 0 MB/s
256 bytes 1.232147 us, bandwith 0 MB/s
512 bytes 1.396656 us, bandwith 0 MB/s
1024 bytes 1.667023 us, bandwith 0 MB/s
2048 bytes 1.882553 us, bandwith 0 MB/s
4096 bytes 2.464771 us, bandwith 0 MB/s
8192 bytes 4.217625 us, bandwith 0 MB/s
16384 bytes 7.083893 us, bandwith 0 MB/s
32768 bytes 10.469437 us, bandwith 0 MB/s
65536 bytes 18.249989 us, bandwith 0 MB/s
131072 bytes 34.009457 us, bandwith 0 MB/s
262144 bytes 68.852425 us, bandwith 0 MB/s
524288 bytes 135.824680 us, bandwith 0 MB/s
1048576 bytes 263.316154 us, bandwith 0 MB/s
2097152 bytes 532.525063 us, bandwith 0 MB/s
